avf;avl;avr;i;ii;iii;v1;v2;v3;v4;v5;v6
4.542;1.915;-0.631;-3.363;2.065;0.634;-3.66;-2.801;-2.797;-3.033;2.428;7.327
4.676;1.902;-0.778;-3.425;2.206;0.556;-3.51;-2.507;-2.592;-2.895;2.441;7.206
4.092;1.552;-0.542;-2.958;1.794;0.497;-3.167;-2.716;-3.026;-3.448;1.98;6.676
3.67;1.196;-0.477;-2.569;1.552;0.35;-2.948;-3;-3.559;-4.108;1.503;6.219
3.507;1.098;-0.412;-2.438;1.438;0.333;-2.935;-3.18;-3.824;-4.408;1.33;6.082
3.438;0.984;-0.458;-2.346;1.425;0.255;-3.026;-3.268;-3.899;-4.49;1.327;6.105
3.637;1.059;-0.582;-2.484;1.588;0.229;-3.163;-3.363;-3.879;-4.497;1.405;6.183
3.598;1.092;-0.51;-2.48;1.533;0.281;-3.16;-3.337;-3.791;-4.471;1.438;6.212
3.637;1.046;-0.595;-2.477;1.595;0.216;-3.193;-3.359;-3.824;-4.51;1.346;6.15
3.614;1.095;-0.523;-2.49;1.546;0.278;-3.176;-3.35;-3.804;-4.507;1.392;6.176
3.618;1.108;-0.513;-2.497;1.542;0.288;-3.167;-3.35;-3.869;-4.523;1.405;6.186
3.732;1.15;-0.585;-2.575;1.637;0.275;-3.232;-3.392;-3.974;-4.539;1.392;6.18
3.699;1.235;-0.467;-2.601;1.562;0.376;-3.229;-3.369;-3.935;-4.477;1.471;6.261
3.712;1.258;-0.458;-2.621;1.562;0.392;-3.281;-3.382;-3.931;-4.493;1.451;6.268
3.748;1.229;-0.523;-2.624;1.614;0.343;-3.389;-3.438;-3.944;-4.549;1.461;6.271
3.775;1.261;-0.516;-2.654;1.624;0.363;-3.382;-3.422;-3.902;-4.529;1.497;6.304
3.732;1.337;-0.399;-2.67;1.542;0.461;-3.395;-3.395;-3.817;-4.454;1.588;6.366
3.856;1.415;-0.444;-2.771;1.627;0.477;-3.467;-3.422;-3.81;-4.454;1.542;6.337
3.784;1.526;-0.261;-2.791;1.5;0.624;-3.428;-3.444;-3.846;-4.523;1.395;6.212
3.735;1.663;-0.075;-2.833;1.382;0.784;-3.402;-3.471;-3.882;-4.559;1.431;6.229
3.703;1.601;-0.105;-2.788;1.382;0.739;-3.353;-3.441;-3.869;-4.542;1.408;6.242
3.716;1.467;-0.252;-2.725;1.461;0.598;-3.34;-3.431;-3.918;-4.536;1.366;6.209
3.696;1.392;-0.307;-2.68;1.48;0.533;-3.301;-3.408;-3.984;-4.536;1.399;6.248
3.627;1.346;-0.284;-2.621;1.435;0.523;-3.275;-3.405;-4.124;-4.562;1.458;6.324
3.67;1.275;-0.399;-2.608;1.513;0.428;-3.288;-3.422;-4.131;-4.601;1.444;6.324
3.65;1.225;-0.428;-2.572;1.516;0.389;-3.281;-3.399;-4.059;-4.654;1.422;6.314
3.67;1.304;-0.369;-2.621;1.497;0.458;-3.278;-3.386;-4.059;-4.69;1.474;6.369
3.683;1.33;-0.356;-2.641;1.497;0.477;-3.304;-3.402;-4.092;-4.735;1.431;6.33
3.693;1.304;-0.392;-2.634;1.52;0.448;-3.359;-3.454;-4.098;-4.771;1.412;6.314
3.654;1.225;-0.431;-2.575;1.52;0.389;-3.343;-3.428;-4.033;-4.729;1.435;6.34
3.644;1.147;-0.5;-2.529;1.549;0.314;-3.317;-3.395;-3.912;-4.631;1.484;6.373
3.673;1.039;-0.637;-2.49;1.634;0.193;-3.275;-3.333;-3.807;-4.539;1.542;6.422
3.637;0.935;-0.706;-2.422;1.65;0.105;-3.216;-3.275;-3.817;-4.48;1.605;6.471
3.673;0.83;-0.846;-2.386;1.739;-0.016;-3.19;-3.235;-3.69;-4.422;1.637;6.507
3.631;0.739;-0.895;-2.32;1.742;-0.088;-3.163;-3.219;-3.68;-4.379;1.68;6.549
3.608;0.601;-1.01;-2.239;1.788;-0.212;-3.118;-3.193;-3.647;-4.33;1.647;6.529
3.667;0.52;-1.15;-2.229;1.886;-0.324;-3.095;-3.176;-3.608;-4.268;1.65;6.526
3.624;0.402;-1.225;-2.147;1.902;-0.422;-3.033;-3.137;-3.565;-4.199;1.716;6.588
3.621;0.196;-1.428;-2.042;2.003;-0.624;-2.971;-3.065;-3.484;-4.127;1.771;6.654
3.716;0.065;-1.654;-2.026;2.163;-0.804;-2.944;-3.039;-3.428;-4.088;1.794;6.68
3.676;0.062;-1.618;-2.003;2.124;-0.788;-2.899;-3;-3.346;-4.036;1.843;6.729
3.618;0.317;-1.304;-2.101;1.938;-0.503;-2.993;-3.101;-3.412;-4.111;1.735;6.618
3.729;0.788;-0.944;-2.392;1.814;-0.088;-3.154;-3.261;-3.569;-4.222;1.608;6.49
3.627;0.902;-0.729;-2.399;1.657;0.078;-3.209;-3.343;-3.647;-4.271;1.542;6.422
3.706;1.046;-0.663;-2.51;1.663;0.183;-3.271;-3.392;-3.696;-4.301;1.526;6.402
3.621;1.085;-0.539;-2.487;1.559;0.265;-3.278;-3.382;-3.732;-4.304;1.565;6.431
3.663;1.147;-0.52;-2.539;1.569;0.304;-3.275;-3.327;-3.716;-4.288;1.608;6.454
3.758;1.229;-0.533;-2.627;1.624;0.34;-3.346;-3.33;-3.742;-4.317;1.559;6.399
3.755;1.242;-0.516;-2.634;1.614;0.353;-3.346;-3.245;-3.657;-4.261;1.624;6.425
3.794;1.34;-0.458;-2.703;1.605;0.431;-3.363;-3.173;-3.546;-4.173;1.725;6.5
3.859;1.395;-0.467;-2.761;1.641;0.454;-3.373;-3.078;-3.418;-4.062;1.761;6.513
3.85;1.386;-0.467;-2.752;1.637;0.451;-3.356;-3.02;-3.333;-4;1.758;6.49
3.824;1.402;-0.425;-2.748;1.601;0.48;-3.337;-2.977;-3.268;-3.958;1.791;6.503
3.817;1.389;-0.431;-2.739;1.601;0.471;-3.31;-2.971;-3.261;-3.971;1.781;6.497
3.827;1.405;-0.425;-2.752;1.605;0.48;-3.291;-2.997;-3.288;-4;1.784;6.484
3.745;1.363;-0.386;-2.69;1.542;0.48;-3.245;-3.01;-3.317;-4.023;1.807;6.526
3.748;1.346;-0.405;-2.683;1.556;0.461;-3.235;-3.069;-3.386;-4.092;1.745;6.487
3.761;1.235;-0.529;-2.634;1.624;0.343;-3.235;-3.137;-3.48;-4.183;1.729;6.474
3.663;1.261;-0.405;-2.598;1.513;0.418;-3.225;-3.16;-3.523;-4.212;1.725;6.49
3.667;1.235;-0.435;-2.585;1.529;0.392;-3.222;-3.186;-3.585;-4.278;1.663;6.438
3.601;1.209;-0.395;-2.539;1.477;0.399;-3.222;-3.222;-3.647;-4.324;1.69;6.451
3.663;1.16;-0.507;-2.546;1.562;0.317;-3.261;-3.278;-3.722;-4.382;1.703;6.474
3.601;1.131;-0.474;-2.5;1.516;0.32;-3.248;-3.284;-3.752;-4.382;1.637;6.435
3.575;1.131;-0.448;-2.487;1.49;0.333;-3.248;-3.307;-3.784;-4.386;1.565;6.382
3.647;1.144;-0.507;-2.529;1.556;0.31;-3.261;-3.346;-3.827;-4.408;1.497;6.32
3.627;1.157;-0.474;-2.526;1.529;0.333;-3.242;-3.376;-3.853;-4.405;1.536;6.359
3.654;1.17;-0.487;-2.546;1.549;0.333;-3.216;-3.386;-3.846;-4.386;1.546;6.373
3.51;1.101;-0.412;-2.441;1.438;0.337;-3.18;-3.369;-3.83;-4.373;1.549;6.373
3.575;1.078;-0.5;-2.461;1.516;0.281;-3.167;-3.379;-3.814;-4.373;1.565;6.395
3.575;1.069;-0.51;-2.458;1.52;0.271;-3.167;-3.386;-3.82;-4.386;1.562;6.402
3.565;1.065;-0.503;-2.451;1.513;0.271;-3.19;-3.395;-3.837;-4.399;1.523;6.382
3.565;1.059;-0.51;-2.448;1.516;0.265;-3.183;-3.363;-3.827;-4.389;1.513;6.35
3.552;1.101;-0.454;-2.461;1.48;0.314;-3.203;-3.369;-3.824;-4.395;1.52;6.386
3.507;1.15;-0.359;-2.464;1.412;0.386;-3.252;-3.405;-3.846;-4.435;1.49;6.343
3.549;1.186;-0.366;-2.503;1.435;0.402;-3.291;-3.425;-3.85;-4.467;1.454;6.31
3.556;1.124;-0.435;-2.474;1.474;0.337;-3.301;-3.418;-3.814;-4.461;1.454;6.307
3.585;1.033;-0.556;-2.444;1.549;0.229;-3.294;-3.389;-3.771;-4.431;1.48;6.34
3.69;0.935;-0.758;-2.448;1.703;0.078;-3.343;-3.389;-3.784;-4.461;1.441;6.333
3.699;0.837;-0.866;-2.402;1.761;-0.023;-3.183;-3.186;-3.641;-4.343;1.487;6.399
3.84;0.712;-1.131;-2.412;1.964;-0.219;-3.154;-2.99;-3.497;-4.239;1.435;6.366
4.065;1.337;-0.732;-2.837;1.876;0.294;-3.533;-3.124;-3.167;-3.618;2.15;7.069
4.634;1.611;-1.026;-3.258;2.307;0.284;-3.712;-2.582;-2.379;-2.804;2.516;7.376
4.487;1.631;-0.859;-3.193;2.15;0.379;-3.503;-2.523;-2.516;-2.961;2.373;7.124
3.958;1.284;-0.676;-2.755;1.794;0.294;-3.137;-2.771;-2.984;-3.565;1.925;6.627
3.542;0.984;-0.562;-2.399;1.529;0.203;-2.958;-3.039;-3.467;-4.131;1.582;6.317
3.441;0.873;-0.572;-2.291;1.484;0.141;-2.961;-3.186;-3.686;-4.343;1.471;6.225
3.516;0.856;-0.663;-2.32;1.569;0.088;-3.052;-3.271;-3.804;-4.405;1.428;6.219
3.585;0.935;-0.654;-2.395;1.598;0.131;-3.137;-3.34;-3.843;-4.412;1.474;6.291
3.624;0.938;-0.69;-2.415;1.634;0.114;-3.147;-3.356;-3.833;-4.415;1.487;6.288
3.614;0.922;-0.696;-2.402;1.634;0.105;-3.127;-3.356;-3.801;-4.418;1.516;6.307
3.683;0.935;-0.752;-2.444;1.696;0.082;-3.121;-3.343;-3.775;-4.415;1.526;6.317
3.601;0.908;-0.696;-2.389;1.627;0.098;-3.124;-3.366;-3.781;-4.438;1.497;6.291
3.67;0.967;-0.706;-2.454;1.667;0.121;-3.144;-3.386;-3.784;-4.451;1.529;6.333
3.637;0.964;-0.676;-2.435;1.634;0.134;-3.144;-3.373;-3.768;-4.451;1.552;6.353
3.703;1.029;-0.676;-2.5;1.667;0.167;-3.196;-3.386;-3.788;-4.467;1.592;6.399
3.791;1.026;-0.768;-2.542;1.758;0.121;-3.297;-3.415;-3.84;-4.516;1.572;6.376
3.804;0.98;-0.827;-2.526;1.794;0.069;-3.356;-3.451;-3.892;-4.578;1.549;6.363
3.775;1.046;-0.732;-2.546;1.732;0.147;-3.382;-3.418;-3.837;-4.523;1.618;6.425
3.765;1.095;-0.673;-2.565;1.696;0.203;-3.415;-3.389;-3.794;-4.49;1.641;6.444
3.693;1.059;-0.637;-2.51;1.644;0.203;-3.379;-3.386;-3.788;-4.5;1.598;6.399
3.667;1.069;-0.601;-2.503;1.611;0.225;-3.363;-3.379;-3.81;-4.516;1.585;6.395
