avf;avl;avr;i;ii;iii;v1;v2;v3;v4;v5;v6
3.686;1.346;-0.343;-2.65;1.493;0.493;-3.451;-3.513;-3.869;-4.376;1.461;6.294
3.709;1.353;-0.359;-2.667;1.513;0.487;-3.484;-3.542;-3.908;-4.405;1.438;6.294
3.791;1.343;-0.451;-2.703;1.598;0.438;-3.507;-3.51;-3.895;-4.422;1.379;6.297
3.889;1.301;-0.592;-2.729;1.719;0.346;-3.386;-3.288;-3.716;-4.294;1.395;6.343
3.987;1.34;-0.65;-2.797;1.797;0.337;-3.51;-3.239;-3.627;-4.19;1.458;6.454
4.353;2.212;-0.144;-3.418;1.725;1.026;-4.016;-3.386;-3.229;-3.461;2.265;7.255
4.807;2.265;-0.546;-3.67;2.154;0.853;-4.003;-2.866;-2.647;-2.922;2.373;7.265
4.379;2.16;-0.222;-3.405;1.778;0.961;-3.706;-2.948;-2.879;-3.219;2.167;6.964
3.892;1.735;-0.16;-2.948;1.503;0.778;-3.373;-3.114;-3.304;-3.791;1.67;6.451
3.634;1.444;-0.193;-2.673;1.392;0.618;-3.297;-3.297;-3.66;-4.216;1.369;6.203
3.582;1.451;-0.134;-2.65;1.337;0.65;-3.35;-3.412;-3.791;-4.356;1.324;6.173
3.637;1.418;-0.222;-2.663;1.408;0.588;-3.474;-3.497;-3.843;-4.395;1.34;6.229
3.634;1.49;-0.147;-2.696;1.369;0.663;-3.513;-3.539;-3.843;-4.366;1.408;6.32
3.657;1.493;-0.167;-2.709;1.389;0.654;-3.536;-3.556;-3.85;-4.359;1.399;6.31
3.686;1.533;-0.157;-2.745;1.399;0.68;-3.549;-3.565;-3.856;-4.34;1.435;6.343
3.683;1.48;-0.206;-2.716;1.422;0.627;-3.529;-3.536;-3.837;-4.33;1.412;6.327
3.739;1.536;-0.206;-2.771;1.451;0.657;-3.542;-3.539;-3.83;-4.314;1.431;6.356
3.67;1.493;-0.18;-2.716;1.402;0.647;-3.575;-3.598;-3.879;-4.356;1.373;6.33
3.781;1.641;-0.144;-2.846;1.441;0.739;-3.601;-3.592;-3.869;-4.346;1.422;6.359
3.853;1.68;-0.176;-2.902;1.493;0.742;-3.634;-3.595;-3.882;-4.356;1.444;6.389
3.791;1.588;-0.206;-2.824;1.477;0.683;-3.693;-3.634;-3.922;-4.373;1.454;6.415
3.863;1.582;-0.284;-2.856;1.552;0.641;-3.712;-3.631;-3.925;-4.379;1.402;6.386
3.856;1.683;-0.176;-2.905;1.493;0.745;-3.735;-3.618;-3.873;-4.327;1.467;6.428
3.843;1.69;-0.157;-2.902;1.477;0.758;-3.683;-3.565;-3.81;-4.284;1.471;6.435
3.81;1.634;-0.18;-2.856;1.474;0.719;-3.641;-3.588;-3.81;-4.288;1.49;6.422
3.761;1.572;-0.193;-2.801;1.454;0.68;-3.598;-3.572;-3.775;-4.271;1.467;6.379
3.758;1.578;-0.183;-2.804;1.448;0.69;-3.556;-3.539;-3.722;-4.248;1.422;6.35
3.755;1.529;-0.229;-2.778;1.471;0.641;-3.552;-3.552;-3.69;-4.284;1.415;6.337
3.735;1.529;-0.209;-2.768;1.451;0.65;-3.539;-3.552;-3.673;-4.297;1.438;6.356
